site_name,usgs_site_id,hu,sampledate,sample_time,time_zone,sampling_method,anc,anc_1,c13_c12_ratio,ca,cl,co2,co3,color,conductance_field,conductance_lab,dic,dkn,do,doc,don,dp,f,fe,h_ion,h20_hardness,h20_hardness_2,hco3,k,mg,mn,n_mixed,n_mixed_1,n_mixed_2,na,nh3_nh4,nh3_nh4_1,nh3_nh4_2,nh3_nh4_3,no2,no2_2,no3,no3_2,no32,no32_2,o18_o16_ratio,o2sat,ph_field,ph_lab,po4,po4_2,s,sar,si,so4,spc,sr,tds,tds_1,tds_2,tkn,toc,ton,tp,tp_2,tpc,tpn
ALLEQUASH CREEK,5357215,7050002,9/10/1992,11:55:00,CDT,GRAB,,,,,,,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,9/10/1992,12:45:00,CDT,GRAB,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TROUT RIVER,5357245,7050002,9/10/1992,14:40:00,CDT,GRAB,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,7/23/1993,13:50:00,CDT,GRAB,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,,,,0.086,,,0.111,,,,,,0.011,,,,,0.012,0.004,,,,,,,,,,0.6,,0.51,0.026,,,
ALLEQUASH CREEK,5357215,7050002,8/18/1993,7:00:00,CDT,GRAB,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,,,,0.124,,,0.16,,,,,,0.016,,,,,0.012,0.004,,,,,,,,,,0.4,,0.28,0.02,,,
ALLEQUASH CREEK,5357215,7050002,8/18/1993,11:40:00,CDT,GRAB,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,,,,0.076,,,0.098,,,,,,0.016,,,,,0.012,0.004,,,,,,,,,,0.5,,0.42,0.02,,,
ALLEQUASH CREEK,5357215,7050002,8/18/1993,13:55:00,CDT,GRAB,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,,,,,,,,,,,,,0.011,,,,,0.009,0.003,,,,,,,,,,0.5,,,0.02,,,
ALLEQUASH CREEK,5357215,7050002,8/18/1993,16:53:00,CDT,GRAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.059,,,0.076,,,,,,,,,,,0.012,0.004,,,,,,,,,,0.4,,0.34,0.01,,,
ALLEQUASH CREEK,5357215,7050002,8/18/1993,20:00:00,CDT,GRAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009,0.003,,,,,,,,,,0.4,,,0.02,,,
STEVENSON CREEK,5357225,7050002,9/11/1993,10:30:00,CDT,GRAB,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,,,,0.404,,,0.52,,,,,,0.011,,,,,0.012,0.004,,,,,,,,,,0.5,,0.1,0.02,,,
ALLEQUASH CREEK,5357215,7050002,9/11/1993,11:30:00,CDT,GRAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.033,,,0.042,,,,,,,,,,,0.015,0.005,,,,,,,,,,0.5,,0.47,0.02,,,
NORTH CREEK,5357230,7050002,9/11/1993,9:00:00,CDT,GRAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009,0.003,,,,,,,,,,,,,0.01,,,
TROUT RIVER,5357245,7050002,9/11/1993,13:45:00,CDT,GRAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.233,,,0.3,,,,,,,,,,,0.012,0.004,,,,,,,,,,0.6,,0.37,0.01,,,
ALLEQUASH CREEK,5357215,7050002,10/21/1993,10:50:00,CDT,GRAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.059,,,0.076,,,,,,,,,,,0.018,0.006,,,,,,,,,,0.4,,0.34,0.02,,,
STEVENSON CREEK,5357225,7050002,11/3/1993,10:45:00,CST,GRAB,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,,,,0.699,,,0.9,,,,,,0.015,,,,,,,,,,,,,,,,0.9,,0.2,,,,
ALLEQUASH CREEK,5357215,7050002,11/3/1993,11:50:00,CST,GRAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.057,,,0.073,,,,,,,,,,,0.012,0.004,,,,,,,,,,0.5,,0.44,0.02,,,
NORTH CREEK,5357230,7050002,11/3/1993,9:30:00,CST,GRAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TROUT RIVER,5357245,7050002,11/3/1993,15:15:00,CST,GRAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043,,,0.055,,,,,,,,,,,0.006,0.002,,,,,,,,,,,,,0.01,,,
ALLEQUASH CREEK,5357215,7050002,3/4/1994,11:30:00,CST,GRAB,1000,,,15.3,,7.2,,,,,15.1,,,3.5,,,,230,0.00007,54.3,,,1.03,3.92,40,,,,2.3,,,,,,,,,,,,,7.1,,,,1860,0.14,,,8,,,,,,,,,,,
NORTH CREEK,5357230,7050002,3/4/1994,11:20:00,CST,GRAB,880,,,12.8,,5.3,,,,,11,,,2.4,,,,50,0.00006,44.2,,,1.04,2.98,,,,,1.53,,,,,,,,,,,,,7.2,,,,2010,0.1,,,7,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,3/4/1994,11:20:00,CST,GRAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.093,,,0.12,,,,,,0.054,,,,,,,,,,,,,,,,,,,0.01,,,
NORTH CREEK,5357230,7050002,3/4/1994,10:30:00,CST,GRAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027,,,0.035,,,,,,0.019,,,,,,,,,,,,,,,,,,,0.007,,,
TROUT RIVER,5357245,7050002,3/4/1994,12:15:00,CST,GRAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038,,,0.049,,,,,,0.042,,,,,,,,,,,,,,,,,,,,,,
TROUT RIVER,5357245,7050002,3/4/1994,12:20:00,CST,GRAB,790,,,13.4,,1.8,,,,,12.1,,,2.9,,,,40,0.00002,47.9,,,0.99,3.5,,,,,2.27,,,,,,,,,,,,,7.6,,,,1440,0.14,,,9,,,,,,,,,,,
