lakeid,sampledate,depth,rep,sta,event,dic,tic,doc,toc,totpf,totpuf,totpuf_sloh,drp_sloh
"ME",2003-07-24,5.00,1,1,,,,,,,,,
"ME",2003-07-24,6.00,1,1,,,,,,,,,
"ME",2003-07-24,7.00,1,1,,,,,,,,,
"ME",2003-07-24,8.00,1,1,,,,,,,,,
"ME",2003-07-24,9.00,1,1,,,,,,,,,
"ME",2003-07-24,9.50,1,1,,,,,,,,,
"ME",2003-07-24,10.00,1,1,,,,,,,,,
"ME",2003-07-24,10.50,1,1,,,,,,,,,
"ME",2003-07-24,11.00,1,1,,,,,,,,,
"ME",2003-07-24,11.50,1,1,,,,,,,,,
"ME",2003-07-24,12.00,1,1,,,,,,,,,
"ME",2003-07-24,12.50,1,1,,,,,,,,,
"ME",2003-07-24,13.00,1,1,,,,,,,,,
"ME",2003-07-24,13.50,1,1,,,,,,,,,
"ME",2003-07-24,14.00,1,1,,,,,,,,,
"ME",2003-07-24,15.00,1,1,,,,,,,,,
"ME",2003-07-24,16.00,1,1,,,,,,,,,
"ME",2003-07-24,17.00,1,1,,,,,,,,,
"ME",2003-07-24,18.00,1,1,,,,,,,,,
"ME",2003-07-24,19.00,1,1,,,,,,,,,
"ME",2003-07-24,20.00,1,1,,,,,,,,,
"ME",2003-07-24,21.00,1,1,,,,,,,,,
"ME",2003-07-24,22.00,1,1,,,,,,,,,
"ME",2003-07-24,23.00,1,1,,,,,,,,,
"ME",2003-07-24,24.00,1,1,,,,,,,,,
"ME",2003-07-24,24.60,1,1,,,,,,,,,
"ME",2003-08-04,0.00,1,1,,42.73,42.65,7.48,6.77,,,0.021,0.003
"ME",2003-08-04,1.00,1,1,,,,,,,,,
"ME",2003-08-04,2.00,1,1,,,,,,,,,
"ME",2003-08-04,3.00,1,1,,,,,,,,,
"ME",2003-08-04,4.00,1,1,,42.53,42.62,7.13,6.65,,,0.020,0.003
"ME",2003-08-04,5.00,1,1,,,,,,,,,
"ME",2003-08-04,6.00,1,1,,42.55,42.88,7.95,7.49,,,,
"ME",2003-08-04,7.00,1,1,,,,,,,,,
"ME",2003-08-04,8.00,1,1,,44.17,44.49,6.07,6.13,,,0.018,0.003
"ME",2003-08-04,8.50,1,1,,,,,,,,,
"ME",2003-08-04,9.00,1,1,,,,,,,,,
"ME",2003-08-04,9.50,1,1,,,,,,,,,
"ME",2003-08-04,10.00,1,1,,45.91,45.42,6.04,5.79,,,0.030,0.010
"ME",2003-08-04,10.50,1,1,,,,,,,,,
"ME",2003-08-04,11.00,1,1,,,,,,,,,
"ME",2003-08-04,11.50,1,1,,,,,,,,,
"ME",2003-08-04,12.00,1,1,,49.21,49.27,5.67,5.24,,,0.152,0.134
"ME",2003-08-04,12.50,1,1,,,,,,,,,
"ME",2003-08-04,13.00,1,1,,,,,,,,,
"ME",2003-08-04,14.00,1,1,,50.30,50.80,5.37,5.61,,,0.225,0.212
"ME",2003-08-04,15.00,1,1,,,,,,,,,
"ME",2003-08-04,16.00,1,1,,51.46,51.73,5.42,5.48,,,0.303,0.276
"ME",2003-08-04,17.00,1,1,,,,,,,,,
"ME",2003-08-04,18.00,1,1,,51.58,52.51,5.49,5.59,,,0.332,0.303
"ME",2003-08-04,19.00,1,1,,,,,,,,,
"ME",2003-08-04,20.00,1,1,,52.21,52.74,5.56,5.78,,,0.387,0.354
"ME",2003-08-04,21.00,1,1,,,,,,,,,
"ME",2003-08-04,22.00,1,1,,52.68,53.58,5.91,5.72,,,0.486,0.446
"ME",2003-08-04,23.00,1,1,,,,,,,,,
"ME",2003-08-04,24.00,1,1,,,,,,,,,
"ME",2003-08-04,0.00,2,1,,43.08,42.35,6.73,6.62,,,,
"ME",2003-08-18,0.00,1,1,,,,,,,,0.020,0.007
"ME",2003-08-18,1.00,1,1,,,,,,,,,
"ME",2003-08-18,2.00,1,1,,,,,,,,,
"ME",2003-08-18,3.00,1,1,,,,,,,,,
"ME",2003-08-18,4.00,1,1,,,,,,,,0.020,0.000
"ME",2003-08-18,5.00,1,1,,,,,,,,,
"ME",2003-08-18,6.00,1,1,,,,,,,,,
"ME",2003-08-18,7.00,1,1,,,,,,,,,
"ME",2003-08-18,8.00,1,1,,,,,,,,,
"ME",2003-08-18,9.00,1,1,,,,,,,,,
"ME",2003-08-18,9.50,1,1,,,,,,,,,
"ME",2003-08-18,10.00,1,1,,,,,,,,,
"ME",2003-08-18,10.50,1,1,,,,,,,,,
"ME",2003-08-18,11.00,1,1,,,,,,,,,
"ME",2003-08-18,11.50,1,1,,,,,,,,,
"ME",2003-08-18,12.00,1,1,,,,,,,,,
"ME",2003-08-18,12.50,1,1,,,,,,,,,
"ME",2003-08-18,13.00,1,1,,,,,,,,,
"ME",2003-08-18,13.50,1,1,,,,,,,,,
"ME",2003-08-18,14.00,1,1,,,,,,,,,
"ME",2003-08-18,15.00,1,1,,,,,,,,,
"ME",2003-08-18,16.00,1,1,,,,,,,,,
"ME",2003-08-18,17.00,1,1,,,,,,,,,
"ME",2003-08-18,18.00,1,1,,,,,,,,,
"ME",2003-08-18,19.00,1,1,,,,,,,,,
"ME",2003-08-18,20.00,1,1,,,,,,,,,
"ME",2003-08-18,21.00,1,1,,,,,,,,,
"ME",2003-08-18,22.00,1,1,,,,,,,,,
"ME",2003-08-18,23.00,1,1,,,,,,,,,
"ME",2003-08-18,24.00,1,1,,,,,,,,,
"ME",2003-08-18,24.50,1,1,,,,,,,,,
"ME",2003-09-02,0.00,1,1,,40.64,40.84,5.78,5.69,,,0.017,0.000
"ME",2003-09-02,1.00,1,1,,,,,,,,,
"ME",2003-09-02,2.00,1,1,,,,,,,,,
"ME",2003-09-02,3.00,1,1,,,,,,,,,
"ME",2003-09-02,4.00,1,1,,40.75,41.04,5.79,5.67,,,0.013,0.000
"ME",2003-09-02,5.00,1,1,,,,,,,,,
"ME",2003-09-02,6.00,1,1,,,,,,,,,
"ME",2003-09-02,7.00,1,1,,,,,,,,,
"ME",2003-09-02,8.00,1,1,,40.68,41.02,5.80,5.88,,,,
"ME",2003-09-02,9.00,1,1,,,,,,,,,
"ME",2003-09-02,9.50,1,1,,,,,,,,,
"ME",2003-09-02,10.00,1,1,,,,,,,,,
"ME",2003-09-02,10.50,1,1,,,,,,,,,
"ME",2003-09-02,11.00,1,1,,,,,,,,,
"ME",2003-09-02,11.50,1,1,,,,,,,,,
"ME",2003-09-02,12.00,1,1,,,,,,,,,
"ME",2003-09-02,12.50,1,1,,,,,,,,,
"ME",2003-09-02,13.00,1,1,,,,,,,,,
"ME",2003-09-02,14.00,1,1,,,,,,,,,
"ME",2003-09-02,15.00,1,1,,,,,,,,,
"ME",2003-09-02,16.00,1,1,,,,,,,,,
"ME",2003-09-02,17.00,1,1,,,,,,,,,
"ME",2003-09-02,18.00,1,1,,,,,,,,,
"ME",2003-09-02,19.00,1,1,,,,,,,,,
"ME",2003-09-02,20.00,1,1,,51.50,51.89,5.30,5.04,,,0.520,0.479
"ME",2003-09-02,21.00,1,1,,,,,,,,,
"ME",2003-09-02,22.00,1,1,,,,,,,,,
"ME",2003-09-02,23.00,1,1,,,,,,,,,
"ME",2003-09-02,24.00,1,1,,,,,,,,,
"ME",2003-09-02,24.50,1,1,,,,,,,,,
"ME",2003-09-02,20.00,2,1,,51.96,51.70,5.40,5.22,,,,
"ME",2003-09-29,0.00,1,1,,42.92,42.89,5.73,5.58,,,0.040,0.018
"ME",2003-09-29,1.00,1,1,,,,,,,,,
"ME",2003-09-29,2.00,1,1,,,,,,,,,
"ME",2003-09-29,3.00,1,1,,,,,,,,,
"ME",2003-09-29,4.00,1,1,,42.64,42.93,5.57,5.79,,,0.046,0.021
"ME",2003-09-29,5.00,1,1,,,,,,,,,
"ME",2003-09-29,6.00,1,1,,,,,,,,,
"ME",2003-09-29,7.00,1,1,,,,,,,,,
